"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)"	"sick"	"SM"	"sickSM"	-0.402168812619859	0.575662398280218	0.0965411318731208	4.73296379865928e-09	4.03787025270542e-07	4.73296379865928e-09	2.86796691647853e-07	NA	"abundance"	37	37
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis"	"sick"	"SM"	"sickSM"	-0.494889342419771	0.575662398280218	0.113173445619091	6.24705664975522e-09	4.03787025270542e-07	6.24705664975522e-09	2.86796691647853e-07	NA	"abundance"	37	37
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis"	"sick"	"SM"	"sickSM"	-0.55443181480889	0.575662398280218	0.121369835400588	5.21697840483171e-09	4.03787025270542e-07	5.21697840483171e-09	2.86796691647853e-07	NA	"abundance"	37	37
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)"	"sick"	"SM"	"sickSM"	-0.489306573578271	0.575662398280218	0.108275248563078	4.1348859891599e-09	4.03787025270542e-07	4.1348859891599e-09	2.86796691647853e-07	NA	"abundance"	37	37
"PWY-5097: L-lysine biosynthesis VI"	"sick"	"SM"	"sickSM"	-0.516283677550383	0.575662398280218	0.113686957720632	5.05602715250575e-09	4.03787025270542e-07	5.05602715250575e-09	2.86796691647853e-07	NA	"abundance"	37	37
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)"	"sick"	"SM"	"sickSM"	-0.422293266864002	0.575662398280218	0.0949660432582026	2.59203813968156e-09	4.03787025270542e-07	2.59203813968156e-09	2.86796691647853e-07	NA	"abundance"	37	37
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)"	"sick"	"SM"	"sickSM"	-0.483021641165135	0.575662398280218	0.110494513147622	5.88900084252941e-09	4.03787025270542e-07	5.88900084252941e-09	2.86796691647853e-07	NA	"abundance"	37	37
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)"	"sick"	"SM"	"sickSM"	-0.475547255265784	0.575662398280218	0.107543575584288	4.51482162766581e-09	4.03787025270542e-07	4.51482162766581e-09	2.86796691647853e-07	NA	"abundance"	37	37
"PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)"	"sick"	"SM"	"sickSM"	-0.515102662464228	0.575662398280218	0.112596778881207	4.19987655764231e-09	4.03787025270542e-07	4.19987655764231e-09	2.86796691647853e-07	NA	"abundance"	37	37
"PWY-7977: L-methionine biosynthesis IV"	"sick"	"SM"	"sickSM"	-0.367965476144264	0.575662398280218	0.089516974497373	4.39337899393877e-09	4.03787025270542e-07	4.39337899393877e-09	2.86796691647853e-07	NA	"abundance"	37	37
"TRNA-CHARGING-PWY: tRNA charging"	"sick"	"SM"	"sickSM"	-0.453134404898887	0.575662398280218	0.10412804745934	5.22355314558354e-09	4.03787025270542e-07	5.22355314558354e-09	2.86796691647853e-07	NA	"abundance"	37	37
"ARO-PWY: chorismate biosynthesis I"	"sick"	"SM"	"sickSM"	-0.501055362687702	0.575662398280218	0.119569713513437	1.27806956129461e-08	4.36467882931295e-07	1.27806956129461e-08	3.1000883386822e-07	NA	"abundance"	37	37
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)"	"sick"	"SM"	"sickSM"	-0.451675824739712	0.575662398280218	0.110596739209669	1.18351786149162e-08	4.36467882931295e-07	1.18351786149162e-08	3.1000883386822e-07	NA	"abundance"	37	37
"NONMEVIPP-PWY: methylerythritol phosphate pathway I"	"sick"	"SM"	"sickSM"	-0.682142790065487	0.575662398280218	0.148798249030306	1.28914564578864e-08	4.36467882931295e-07	1.28914564578864e-08	3.1000883386822e-07	NA	"abundance"	37	37
"PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)"	"sick"	"SM"	"sickSM"	-0.462176354359325	0.575662398280218	0.112297962906195	1.25624156632753e-08	4.36467882931295e-07	1.25624156632753e-08	3.1000883386822e-07	NA	"abundance"	37	37
"PWY-1042: glycolysis IV"	"sick"	"SM"	"sickSM"	-0.524286702827093	0.575662398280218	0.121166040579203	9.80193926025663e-09	4.36467882931295e-07	9.80193926025663e-09	3.1000883386822e-07	NA	"abundance"	37	37
"PWY-5103: L-isoleucine biosynthesis III"	"sick"	"SM"	"sickSM"	-0.458014533798617	0.575662398280218	0.1110201557421	1.1311003911274e-08	4.36467882931295e-07	1.1311003911274e-08	3.1000883386822e-07	NA	"abundance"	37	37
"PWY-5667: CDP-diacylglycerol biosynthesis I"	"sick"	"SM"	"sickSM"	-0.460352196046871	0.575662398280218	0.111414973486923	9.99962002090626e-09	4.36467882931295e-07	9.99962002090626e-09	3.1000883386822e-07	NA	"abundance"	37	37
"PWY-6609: adenine and adenosine salvage III"	"sick"	"SM"	"sickSM"	-0.472383370695741	0.575662398280218	0.113508489029949	1.02439008387023e-08	4.36467882931295e-07	1.02439008387023e-08	3.1000883386822e-07	NA	"abundance"	37	37
"PWY-7199: pyrimidine deoxyribonucleosides salvage"	"sick"	"SM"	"sickSM"	-0.408592333013855	0.575662398280218	0.104295041572891	1.23396270979015e-08	4.36467882931295e-07	1.23396270979015e-08	3.1000883386822e-07	NA	"abundance"	37	37
"PWY0-1319: CDP-diacylglycerol biosynthesis II"	"sick"	"SM"	"sickSM"	-0.459185239368383	0.575662398280218	0.111375618626689	1.03580389820834e-08	4.36467882931295e-07	1.03580389820834e-08	3.1000883386822e-07	NA	"abundance"	37	37
"PWY-6629: superpathway of L-tryptophan biosynthesis"	"sick"	"SM"	"sickSM"	-0.691278559795812	0.575662398280218	0.152721971759036	1.54255417328386e-08	4.9852546236583e-07	1.54255417328386e-08	3.54086298867432e-07	NA	"abundance"	37	37
"PWY-3841: folate transformations II (plants)"	"sick"	"SM"	"sickSM"	-0.481651109074537	0.575662398280218	0.118545673825798	1.70807914479099e-08	5.0601844664433e-07	1.70807914479099e-08	3.5940832004977e-07	NA	"abundance"	37	37
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate"	"sick"	"SM"	"sickSM"	-0.571268787503107	0.575662398280218	0.13367392570644	1.67328630951147e-08	5.0601844664433e-07	1.67328630951147e-08	3.5940832004977e-07	NA	"abundance"	37	37
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II"	"sick"	"SM"	"sickSM"	-0.329598285407218	0.575662398280218	0.0960674847342214	2.69673634534229e-08	7.66951816615347e-07	2.69673634534229e-08	5.44740741759142e-07	NA	"abundance"	37	37
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis"	"sick"	"SM"	"sickSM"	-0.329598285407218	0.575662398280218	0.0960674847342214	2.99281966986698e-08	8.18421071259777e-07	2.99281966986698e-08	5.81297666647239e-07	NA	"abundance"	37	37
"CALVIN-PWY: Calvin-Benson-Bassham cycle"	"sick"	"SM"	"sickSM"	-0.311764896502126	0.575662398280218	0.0940766897126965	3.59607259525774e-08	9.46965783417871e-07	3.59607259525774e-08	6.72598763187095e-07	NA	"abundance"	37	37
"VALSYN-PWY: L-valine biosynthesis"	"sick"	"SM"	"sickSM"	-0.446382939750763	0.575662398280218	0.121913446353799	4.8865122170838e-08	1.24082506655235e-06	4.8865122170838e-08	8.81317382009758e-07	NA	"abundance"	37	37
"PWY-5686: UMP biosynthesis I"	"sick"	"SM"	"sickSM"	-0.706519180874142	0.575662398280218	0.165893599819108	5.82328025799939e-08	1.42770767704744e-06	5.82328025799939e-08	1.01405397596196e-06	NA	"abundance"	37	37
"PWY-7790: UMP biosynthesis II"	"sick"	"SM"	"sickSM"	-0.709696778307246	0.575662398280218	0.16868352992474	6.31739014433919e-08	1.49722146420839e-06	6.31739014433919e-08	1.06342734096376e-06	NA	"abundance"	37	37
"PWY-7791: UMP biosynthesis III"	"sick"	"SM"	"sickSM"	-0.709696778307246	0.575662398280218	0.16868352992474	6.89358048422406e-08	1.58107604009139e-06	6.89358048422406e-08	1.1229864982365e-06	NA	"abundance"	37	37
"PWY-7221: guanosine ribonucleotides de novo biosynthesis"	"sick"	"SM"	"sickSM"	-0.45006147320879	0.575662398280218	0.12748612643181	9.61951797107119e-08	2.13733664919738e-06	9.61951797107119e-08	1.51808017980967e-06	NA	"abundance"	37	37
"PWY-5695: inosine 5'-phosphate degradation"	"sick"	"SM"	"sickSM"	-0.0775320634634884	0.575662398280218	0.0509765781965382	1.02432405113539e-07	2.14204235399196e-06	1.02432405113539e-07	1.52142248771581e-06	NA	"abundance"	37	37
"TRPSYN-PWY: L-tryptophan biosynthesis"	"sick"	"SM"	"sickSM"	-0.821488089189728	0.575662398280218	0.191888331091935	9.99776923471529e-08	2.14204235399196e-06	9.99776923471529e-08	1.52142248771581e-06	NA	"abundance"	37	37
